Date,Temp
1981-07-31,22.526
1981-08-31,22.913
1981-09-30,21.146
1981-10-31,23.552
1981-11-30,24.418000000000006
1981-12-31,24.204
1982-01-31,26.896
1982-02-28,25.618
1982-03-31,23.871
1982-04-30,23.281
1982-05-31,24.68
1982-06-30,23.525
1982-07-31,23.217
1982-08-31,22.13000000000001
1982-09-30,22.281
1982-10-31,24.516
1982-11-30,23.999
1982-12-31,26.047
1983-01-31,27.149
1983-02-28,26.258000000000006
1983-03-31,25.188
1983-04-30,25.511999999999997
1983-05-31,23.738000000000003
1983-06-30,23.456
1983-07-31,21.756999999999998
1983-08-31,20.548000000000002
1983-09-30,21.749
1983-10-31,23.737
1983-11-30,24.59
1983-12-31,27.231
1984-01-31,27.997
1984-02-29,26.561
1984-03-31,24.83
1984-04-30,26.031
1984-05-31,24.897
1984-06-30,24.068
1984-07-31,21.843000000000004
1984-08-31,21.751
1984-09-30,23.062
1984-10-31,23.299
1984-11-30,23.831
1984-12-31,24.673000000000002
1985-01-31,27.19400000000001
1985-02-28,27.031
1985-03-31,26.174
1985-04-30,23.878
1985-05-31,22.798000000000002
1985-06-30,22.684
1985-07-31,23.309
1985-08-31,21.649
1985-09-30,22.517
1985-10-31,23.295
1985-11-30,23.95
1985-12-31,26.552
1986-01-31,27.484
1986-02-28,27.087
1986-03-31,26.513
1986-04-30,25.991
1986-05-31,24.048000000000002
1986-06-30,22.471999999999998
1986-07-31,23.433000000000003
1986-08-31,21.952
1986-09-30,22.261
1986-10-31,24.348000000000006
1986-11-30,24.915
1986-12-31,26.843000000000004
1987-01-31,27.263
1987-02-28,26.243
1987-03-31,26.489
1987-04-30,24.372
1987-05-31,22.931
1987-06-30,24.676
1987-07-31,22.619
1987-08-31,21.612
1987-09-30,22.421
1987-10-31,23.774
1987-11-30,25.3
1987-12-31,27.669
1988-01-31,26.427000000000003
1988-02-29,26.811
1988-03-31,25.544
1988-04-30,24.474
1988-05-31,22.378
1988-06-30,21.255
1988-07-31,22.495
1988-08-31,22.462
1988-09-30,21.798
1988-10-31,22.326
1988-11-30,24.376
1988-12-31,26.141
1989-01-31,26.866000000000003
1989-02-28,26.915
1989-03-31,26.250999999999998
1989-04-30,23.764
1989-05-31,23.411
1989-06-30,21.866
1989-07-31,22.753
1989-08-31,22.0
1989-09-30,21.237
1989-10-31,23.351
1989-11-30,24.249
1989-12-31,27.195
1990-01-31,26.876
1990-02-28,27.442
1990-03-31,27.462
1990-04-30,24.153
1990-05-31,23.745
1990-06-30,22.506
1990-07-31,21.662
1990-08-31,21.54000000000001
1990-09-30,23.361
1990-10-31,24.965
1990-11-30,24.804
1990-12-31,25.047
1991-01-31,26.641
1991-02-28,26.291
1991-03-31,25.788
1991-04-30,24.663
1991-05-31,24.635
1991-06-30,22.726
1991-07-31,22.449
1991-08-31,21.262
1991-09-30,22.569000000000006
1991-10-31,23.203000000000007
1991-11-30,25.73
1991-12-31,25.896
1992-01-31,26.371
1992-02-29,26.691
1992-03-31,25.535
1992-04-30,25.314
1992-05-31,25.07
1992-06-30,22.85
1992-07-31,22.018
1992-08-31,21.837
1992-09-30,22.595
1992-10-31,22.682
1992-11-30,23.97
1992-12-31,26.518
1993-01-31,26.833000000000002
1993-02-28,27.032
1993-03-31,26.391
1993-04-30,24.546999999999997
1993-05-31,23.349
1993-06-30,23.666999999999998
1993-07-31,21.968000000000004
1993-08-31,22.036
1993-09-30,23.542
1993-10-31,24.992
1993-11-30,24.982
1993-12-31,25.359
1994-01-31,28.561
1994-02-28,26.198
1994-03-31,25.419
1994-04-30,25.663
1994-05-31,23.533
1994-06-30,23.723000000000006
1994-07-31,22.138
1994-08-31,22.498
1994-09-30,23.251
1994-10-31,24.223000000000006
1994-11-30,26.007
1994-12-31,27.399
1995-01-31,27.116000000000003
1995-02-28,26.782
1995-03-31,25.432
1995-04-30,24.458
1995-05-31,23.909
1995-06-30,24.883000000000006
1995-07-31,24.489
1995-08-31,22.696
1995-09-30,21.863000000000003
1995-10-31,23.549
1995-11-30,24.665
1995-12-31,27.246
1996-01-31,27.70000000000001
1996-02-29,27.006999999999998
1996-03-31,25.874
1996-04-30,23.783
1996-05-31,23.359
1996-06-30,21.802
1996-07-31,22.048
1996-08-31,21.619
1996-09-30,22.344
1996-10-31,23.103
1996-11-30,25.473000000000006
1996-12-31,25.909
1997-01-31,27.305000000000003
1997-02-28,25.7
1997-03-31,25.17
1997-04-30,24.052
1997-05-31,23.746
1997-06-30,23.967
1997-07-31,23.104
1997-08-31,23.147
1997-09-30,23.048
1997-10-31,24.887
1997-11-30,26.526
1997-12-31,27.462
1998-01-31,27.835
1998-02-28,27.615
1998-03-31,26.483
1998-04-30,24.471999999999998
1998-05-31,22.883000000000006
1998-06-30,23.372
1998-07-31,24.23
1998-08-31,23.138
1998-09-30,22.416999999999998
1998-10-31,21.967
1998-11-30,25.465
1998-12-31,26.638
1999-01-31,27.539
1999-02-28,26.982
1999-03-31,25.041
